address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,zip_code_num,long,lat
"Finderupvej 2C, 3. TV",8000 Aarhus C,2725000,2015-12-31,Alm. Salg,31321.0,3.0,Lejlighed,87.0,2009.0,0.0,8000,10.182282,56.155447
"Silkeborgvej 116, ST. TH",8000 Aarhus C,1575000,2015-12-30,Alm. Salg,25000.0,2.0,Lejlighed,63.0,1936.0,-1.0,8000,10.180301,56.156594
"Åparken 6, ST. 1",8000 Aarhus C,3349000,2015-12-30,Alm. Salg,31299.0,4.0,Lejlighed,107.0,2001.0,0.0,8000,10.187519,56.154112
"Ingerslevs Boulevard 19, 4. TH",8000 Aarhus C,4200000,2015-12-30,Alm. Salg,38181.0,5.0,Lejlighed,110.0,1929.0,0.0,8000,10.192979,56.14409
"Telefontorvet 4, 4. TV",8000 Aarhus C,3925000,2015-12-29,Alm. Salg,38861.0,3.0,Lejlighed,101.0,2005.0,-2.0,8000,10.207114,56.155616
"Nordborggade 4, 3. TV",8000 Aarhus C,2385000,2015-12-29,Alm. Salg,28392.0,3.0,Lejlighed,84.0,1944.0,-3.0,8000,10.187113,56.144232
"Østbanetorvet 7, 4. TH",8000 Aarhus C,3398000,2015-12-29,Alm. Salg,32056.0,3.0,Lejlighed,106.0,1898.0,0.0,8000,10.215128,56.163386
"Silkeborgvej 142, 3. TV",8000 Aarhus C,1350000,2015-12-29,Fam. Salg,22881.0,2.0,Lejlighed,59.0,1938.0,0.0,8000,10.178795,56.156289
Finderupvej 2E,8000 Aarhus C,1783000,2015-12-29,Alm. Salg,27430.0,2.0,Lejlighed,65.0,2009.0,0.0,8000,10.182041,56.155521
"Schleppegrellsgade 18B, 3. TV",8000 Aarhus C,2300000,2015-12-28,Alm. Salg,34328.0,2.0,Lejlighed,67.0,1933.0,-2.0,8000,10.192398,56.147555
"Østboulevarden 19, 1",8000 Aarhus C,2050000,2015-12-28,Alm. Salg,35964.0,2.0,Lejlighed,57.0,1904.0,0.0,8000,10.212886,56.164509
"Vestervang 40, 5. 4057",8000 Aarhus C,2863300,2015-12-27,Alm. Salg,38177.0,3.0,Lejlighed,75.0,1969.0,-4.0,8000,10.189938,56.164916
"Thunøgade 19, 2",8000 Aarhus C,2950000,2015-12-24,Alm. Salg,31052.0,3.0,Lejlighed,95.0,1891.0,-5.0,8000,10.205377,56.1612
"Sønderborggade 13, 1. TV",8000 Aarhus C,1437500,2015-12-24,Fam. Salg,21139.0,2.0,Lejlighed,68.0,1960.0,0.0,8000,10.18126,56.141053
"Banegårdsgade 25, 3",8000 Aarhus C,2800000,2015-12-23,Alm. Salg,26168.0,4.0,Lejlighed,107.0,1880.0,-2.0,8000,10.201635,56.150534
"Harald Jensens Plads 15, 2. TV",8000 Aarhus C,1044300,2015-12-23,Fam. Salg,17405.0,2.0,Lejlighed,60.0,1934.0,0.0,8000,10.189441,56.142938
"Marselisborg Allé 10, 2. TH",8000 Aarhus C,2700000,2015-12-23,Alm. Salg,37500.0,3.0,Lejlighed,72.0,1990.0,-3.0,8000,10.207188,56.147627
"Silkeborgvej 178, ST. 1",8000 Aarhus C,900000,2015-12-23,Alm. Salg,27272.0,1.0,Lejlighed,33.0,1939.0,-2.0,8000,10.176785,56.156156
Vesterport 8L,8000 Aarhus C,3200000,2015-12-23,Alm. Salg,29357.0,4.0,Lejlighed,109.0,1870.0,0.0,8000,10.200313,56.157902
"Marstrandsgade 22, 4",8000 Aarhus C,1960000,2015-12-22,Alm. Salg,27222.0,2.0,Lejlighed,72.0,1900.0,-2.0,8000,10.197281,56.154431
"Skernvej 12, 5. TH",8000 Aarhus C,3100000,2015-12-22,Alm. Salg,38271.0,3.0,Lejlighed,81.0,1931.0,-2.0,8000,10.189259,56.157784
"Paradisgade 15, 1",8000 Aarhus C,3300000,2015-12-22,Andet,33673.0,4.0,Lejlighed,98.0,1880.0,0.0,8000,10.20945,56.160378
"Paradisgade 15, ST",8000 Aarhus C,2700000,2015-12-22,Andet,23478.0,5.0,Lejlighed,115.0,1880.0,0.0,8000,10.20945,56.160378
"De Mezas Vej 20, 1. TV",8000 Aarhus C,3525000,2015-12-22,Alm. Salg,26111.0,4.0,Lejlighed,135.0,1928.0,-2.0,8000,10.190465,56.144761
"Klostertorvet 11, 4. 8",8000 Aarhus C,2230000,2015-12-22,Alm. Salg,38448.0,2.0,Lejlighed,58.0,2015.0,0.0,8000,10.20583,56.158084
"Åhusene 4, 2. 2",8000 Aarhus C,2600000,2015-12-22,Alm. Salg,38235.0,3.0,Lejlighed,68.0,2011.0,0.0,8000,10.188655,56.153023
"Silkeborgvej 162, ST. TH",8000 Aarhus C,1190000,2015-12-21,Fam. Salg,23800.0,2.0,Lejlighed,50.0,1939.0,0.0,8000,10.177799,56.156222
"Rudolph Wulffs Gade 17, 1. TV",8000 Aarhus C,808000,2015-12-21,Andet,8879.0,3.0,Lejlighed,91.0,1953.0,0.0,8000,10.184192,56.139767
"Anholtsgade 11, 2. TH",8000 Aarhus C,1700000,2015-12-21,Alm. Salg,25757.0,2.0,Lejlighed,66.0,1909.0,-4.0,8000,10.208547,56.160805
"Hans Broges Gade 10, ST",8000 Aarhus C,2660000,2015-12-21,Alm. Salg,29555.0,3.0,Lejlighed,90.0,1904.0,-5.0,8000,10.204146,56.143888
"Klostertorvet 11, 4. 4",8000 Aarhus C,2025000,2015-12-21,Alm. Salg,45000.0,2.0,Lejlighed,45.0,2015.0,0.0,8000,10.20583,56.158084
"Vestervang 32, 4. TH",8000 Aarhus C,2648000,2015-12-18,Alm. Salg,37828.0,2.0,Lejlighed,70.0,1983.0,0.0,8000,10.19178,56.164467
"Østboulevarden 1, ST. TV",8000 Aarhus C,2495000,2015-12-18,Alm. Salg,28352.0,3.0,Lejlighed,88.0,1895.0,-4.0,8000,10.214439,56.163568
"Grønnegade 65, 2. TH",8000 Aarhus C,547500,2015-12-18,Fam. Salg,8295.0,2.0,Lejlighed,66.0,1989.0,0.0,8000,10.202089,56.158819
"Nordborggade 55, 3. TV",8000 Aarhus C,2495000,2015-12-18,Alm. Salg,29011.0,3.0,Lejlighed,86.0,1961.0,0.0,8000,10.183681,56.145456
"Finderupvej 2M, ST. 4",8000 Aarhus C,2050000,2015-12-18,Alm. Salg,31060.0,2.0,Lejlighed,66.0,2009.0,0.0,8000,10.181402,56.155227
"Schleppegrellsgade 20, 2",8000 Aarhus C,2098000,2015-12-17,Alm. Salg,30852.0,2.0,Lejlighed,68.0,1937.0,0.0,8000,10.19229,56.147646
"Gammel Munkegade 6, ST. TV",8000 Aarhus C,1875000,2015-12-17,Alm. Salg,30241.0,2.0,Lejlighed,62.0,1890.0,0.0,8000,10.204348,56.159403
"Studsgade 30, ST. TH",8000 Aarhus C,1370000,2015-12-17,Fam. Salg,22096.0,2.0,Lejlighed,62.0,1910.0,0.0,8000,10.211245,56.15966
"Vestervang 25F, 2. TV",8000 Aarhus C,2700000,2015-12-17,Alm. Salg,38028.0,2.0,Lejlighed,71.0,1985.0,0.0,8000,10.191747,56.164167
"Klostertorvet 11, 2. 1",8000 Aarhus C,1800000,2015-12-17,Alm. Salg,38297.0,2.0,Lejlighed,47.0,2015.0,0.0,8000,10.20583,56.158084
"Fredericiagade 22, 2",8000 Aarhus C,1835000,2015-12-16,Alm. Salg,35288.0,2.0,Lejlighed,52.0,1886.0,-1.0,8000,10.20204,56.148495
"Vestre Ringgade 156, ST. TH",8000 Aarhus C,1930000,2015-12-16,Alm. Salg,26805.0,3.0,Lejlighed,72.0,1948.0,0.0,8000,10.189404,56.166328
"Montanagade 57, 2",8000 Aarhus C,1995000,2015-12-16,Alm. Salg,35625.0,2.0,Lejlighed,56.0,1907.0,0.0,8000,10.200074,56.145306
"Marselis Boulevard 36, 1. TV",8000 Aarhus C,3250000,2015-12-16,Alm. Salg,27542.0,4.0,Lejlighed,118.0,1967.0,-3.0,8000,10.198601,56.141358
"Finderupvej 2L, 2. 2",8000 Aarhus C,2100000,2015-12-16,Alm. Salg,29577.0,2.0,Lejlighed,71.0,2009.0,0.0,8000,10.181397,56.155402
"Mariane Thomsens Gade 42, ST. 2",8000 Aarhus C,1998000,2015-12-16,Alm. Salg,28140.0,2.0,Lejlighed,71.0,2013.0,0.0,8000,10.229664,56.164891
"Viborgvej 27, 5. TH",8000 Aarhus C,969000,2015-12-15,Fam. Salg,17944.0,1.0,Lejlighed,54.0,1930.0,0.0,8000,10.190061,56.158491
"Nordborggade 27, 4. TH",8000 Aarhus C,1775000,2015-12-15,Alm. Salg,30603.0,2.0,Lejlighed,58.0,1960.0,-1.0,8000,10.184742,56.144502
"Sjællandsgade 87, 2",8000 Aarhus C,2890000,2015-12-15,Alm. Salg,31758.0,4.0,Lejlighed,91.0,1889.0,-4.0,8000,10.205091,56.162995
"Åparken 2, 4. 11",8000 Aarhus C,875000,2015-12-15,Alm. Salg,29166.0,1.0,Lejlighed,30.0,1999.0,0.0,8000,10.186038,56.154104
"Marselisborg Allé 30A, 4. TH",8000 Aarhus C,2410000,2015-12-14,Alm. Salg,38870.0,2.0,Lejlighed,62.0,1915.0,-4.0,8000,10.206011,56.146264
"Samsøgade 78, 3",8000 Aarhus C,1100000,2015-12-14,Fam. Salg,20000.0,2.0,Lejlighed,55.0,1899.0,0.0,8000,10.200576,56.16205
"Vestervang 34, 6. TH",8000 Aarhus C,2648000,2015-12-14,Alm. Salg,36273.0,2.0,Lejlighed,73.0,1983.0,0.0,8000,10.191282,56.164544
"Grete Løchtes Gade 2, ST. TV",8000 Aarhus C,2249000,2015-12-14,Alm. Salg,24988.0,2.0,Lejlighed,90.0,2016.0,0.0,8000,10.225141,56.165482
"Nørrebrogade 20E, 3. TH",8000 Aarhus C,2845000,2015-12-14,Alm. Salg,37933.0,3.0,Lejlighed,75.0,2015.0,-2.0,8000,10.211223,56.163569
"Grete Løchtes Gade 6, ST. TH",8000 Aarhus C,2125000,2015-12-14,Alm. Salg,25000.0,2.0,Lejlighed,85.0,2016.0,0.0,8000,10.22472,56.165726
"Vestervang 19, 4. MF",8000 Aarhus C,2199000,2015-12-13,Alm. Salg,32820.0,2.0,Lejlighed,67.0,1986.0,0.0,8000,10.195031,56.16378
"Helga Pedersens Gade 5, 5. 2",8000 Aarhus C,2898000,2015-12-13,Alm. Salg,40250.0,2.0,Lejlighed,72.0,2014.0,0.0,8000,10.2294,56.16676
"Nørre Allé 37, 4. TV",8000 Aarhus C,3150000,2015-12-12,Alm. Salg,32142.0,4.0,Lejlighed,98.0,1912.0,-1.0,8000,10.203378,56.159678
"Ringkøbingvej 6, ST. MF",8000 Aarhus C,1475000,2015-12-11,Alm. Salg,35119.0,2.0,Lejlighed,42.0,1939.0,-1.0,8000,10.189129,56.157111
"Mariane Thomsens Gade 50, 5. 2",8000 Aarhus C,2898000,2015-12-11,Alm. Salg,32931.0,2.0,Lejlighed,88.0,2013.0,0.0,8000,10.23058,56.164941
"Sonnesgade 17, 4. TV",8000 Aarhus C,900000,2015-12-10,Fam. Salg,16981.0,2.0,Lejlighed,53.0,1918.0,0.0,8000,10.194164,56.150175
"Sølystgade 56, ST",8000 Aarhus C,1790000,2015-12-10,Alm. Salg,26323.0,3.0,Lejlighed,68.0,1898.0,-3.0,8000,10.20388,56.161852
"Ceres Allé 7, 15. 6",8000 Aarhus C,3775000,2015-12-10,Alm. Salg,38917.0,4.0,Lejlighed,97.0,2016.0,0.0,8000,10.191218,56.154591
"Klostertorvet 11, 3. 3",8000 Aarhus C,1875000,2015-12-10,Alm. Salg,35377.0,2.0,Lejlighed,53.0,2015.0,0.0,8000,10.20583,56.158084
"Frederiksgade 69, 1. TH",8000 Aarhus C,1550000,2015-12-09,Fam. Salg,27192.0,2.0,Lejlighed,57.0,1870.0,0.0,8000,10.203977,56.154263
"Vesterbrogade 9, 1. TV",8000 Aarhus C,2090000,2015-12-09,Alm. Salg,28243.0,3.0,Lejlighed,74.0,1929.0,-5.0,8000,10.196985,56.157876
"Skovvejen 9, ST. TH",8000 Aarhus C,2199000,2015-12-09,Alm. Salg,28558.0,2.0,Lejlighed,77.0,1937.0,0.0,8000,10.216441,56.163975
"Kroghsgade 6, 1",8000 Aarhus C,2040000,2015-12-09,Fam. Salg,18715.0,3.0,Lejlighed,109.0,1885.0,0.0,8000,10.196319,56.145603
"Åparken 6, 5. 5",8000 Aarhus C,2450000,2015-12-08,Alm. Salg,31012.0,3.0,Lejlighed,79.0,2001.0,-2.0,8000,10.187519,56.154112
"Tøndergade 96, 3. TV",8000 Aarhus C,1825000,2015-12-08,Alm. Salg,26449.0,2.0,Lejlighed,69.0,1957.0,27.0,8000,10.179798,56.139787
"Dagmar Petersens Gade 68, 3. TH",8000 Aarhus C,4799000,2015-12-08,Alm. Salg,30961.0,4.0,Lejlighed,155.0,2016.0,0.0,8000,10.224678,56.165936
"Bernhardt Jensens Boulevard 91, ST. TV",8000 Aarhus C,2099000,2015-12-08,Alm. Salg,24988.0,2.0,Lejlighed,84.0,2016.0,0.0,8000,10.225638,56.165677
"Ceres Allé 7, 18. 3",8000 Aarhus C,6900000,2015-12-08,Alm. Salg,42857.0,4.0,Lejlighed,161.0,2016.0,0.0,8000,10.191218,56.154591
"Dagmar Petersens Gade 94, 3. 1",8000 Aarhus C,4800000,2015-12-08,Alm. Salg,38095.0,3.0,Lejlighed,126.0,2016.0,0.0,8000,10.227889,56.166993
"Paludan-Müllers Vej 9, ST",8000 Aarhus C,2000000,2015-12-07,Alm. Salg,30303.0,2.0,Lejlighed,66.0,1925.0,-5.0,8000,10.194437,56.165583
"Ny Munkegade 32, 4. TV",8000 Aarhus C,2025000,2015-12-07,Alm. Salg,30223.0,2.0,Lejlighed,67.0,1897.0,-3.0,8000,10.203398,56.161821
"Schleppegrellsgade 8, 3. TV",8000 Aarhus C,2340000,2015-12-07,Alm. Salg,30000.0,3.0,Lejlighed,78.0,1901.0,-6.0,8000,10.192675,56.146901
"Stadion Allé 8, 5. TH",8000 Aarhus C,2225000,2015-12-07,Alm. Salg,39035.0,2.0,Lejlighed,57.0,1928.0,-3.0,8000,10.193727,56.143679
"Thunøgade 10, ST",8000 Aarhus C,2850000,2015-12-07,Alm. Salg,31666.0,3.0,Lejlighed,90.0,1877.0,2.0,8000,10.206898,56.161616
"Skolegade 23, 3",8000 Aarhus C,2398000,2015-12-07,Alm. Salg,24979.0,3.0,Lejlighed,96.0,1989.0,0.0,8000,10.21159,56.155316
"Ceres Allé 7, 4. 2",8000 Aarhus C,3550000,2015-12-07,Alm. Salg,30084.0,4.0,Lejlighed,118.0,2016.0,0.0,8000,10.191218,56.154591
"Nørre Allé 46B, ST",8000 Aarhus C,1625000,2015-12-06,Fam. Salg,20569.0,2.0,Lejlighed,79.0,1916.0,0.0,8000,10.204772,56.160215
"Ingerslevs Plads 1B, ST",8000 Aarhus C,1232500,2015-12-05,Fam. Salg,18125.0,2.0,Lejlighed,68.0,1911.0,0.0,8000,10.199933,56.144858
Strandvejen 56,8000 Aarhus C,6650000,2015-12-04,Alm. Salg,27824.0,9.0,Villa,239.0,1940.0,-5.0,8000,10.206705,56.140457
"Vestergade 78, ST. TH",8000 Aarhus C,2475000,2015-12-04,Alm. Salg,29117.0,3.0,Lejlighed,85.0,1927.0,-1.0,8000,10.198421,56.157102
"Dagmar Petersens Gade 68, 4. TV",8000 Aarhus C,4515000,2015-12-04,Alm. Salg,32482.0,4.0,Lejlighed,139.0,2016.0,0.0,8000,10.224678,56.165936
"Frederiks Allé 106, 2",8000 Aarhus C,1430000,2015-12-03,Alm. Salg,28600.0,2.0,Lejlighed,50.0,1876.0,-5.0,8000,10.196167,56.148058
"Hans Broges Gade 19, 4. TV",8000 Aarhus C,2150000,2015-12-03,Alm. Salg,35833.0,1.0,Lejlighed,60.0,1907.0,0.0,8000,10.204618,56.14413
"Vestervang 32, 4. MF",8000 Aarhus C,1875000,2015-12-03,Alm. Salg,27573.0,2.0,Lejlighed,68.0,1983.0,0.0,8000,10.19178,56.164467
"Montanagade 66, 5. TH",8000 Aarhus C,2010000,2015-12-03,Alm. Salg,36545.0,2.0,Lejlighed,55.0,1897.0,0.0,8000,10.1997,56.145382
"Finderupvej 2K, 2. TH",8000 Aarhus C,1700000,2015-12-03,Alm. Salg,28813.0,2.0,Lejlighed,59.0,2009.0,0.0,8000,10.181474,56.1555
"Bernhardt Jensens Boulevard 89, 6. TH",8000 Aarhus C,3249000,2015-12-03,Alm. Salg,33843.0,3.0,Lejlighed,96.0,2016.0,0.0,8000,10.22547,56.165587
"Ceres Allé 7, 17. 6",8000 Aarhus C,3925000,2015-12-03,Alm. Salg,40463.0,3.0,Lejlighed,97.0,2016.0,0.0,8000,10.191218,56.154591
"Klostertorvet 11, 1. 11",8000 Aarhus C,1775000,2015-12-03,Alm. Salg,40340.0,2.0,Lejlighed,44.0,2015.0,0.0,8000,10.20583,56.158084
"Dagmar Petersens Gade 102, 2. 3",8000 Aarhus C,6000000,2015-12-03,Alm. Salg,35928.0,3.0,Lejlighed,167.0,2016.0,0.0,8000,10.227376,56.167256
"Mariane Thomsens Gade 31, 2. 2",8000 Aarhus C,3148000,2015-12-03,Alm. Salg,28107.0,3.0,Lejlighed,112.0,2013.0,0.0,8000,10.230183,56.165327
"Mariane Thomsens Gade 42, ST. 1",8000 Aarhus C,2548000,2015-12-03,Alm. Salg,30333.0,3.0,Lejlighed,84.0,2013.0,0.0,8000,10.229664,56.164891
"Langenæs Allé 47, ST. MF",8000 Aarhus C,552500,2015-12-02,Fam. Salg,15347.0,1.0,Lejlighed,36.0,1960.0,0.0,8000,10.180962,56.1412
"Teglværksgade 14, 2. TH",8000 Aarhus C,2100000,2015-12-02,Alm. Salg,33870.0,2.0,Lejlighed,62.0,1928.0,-3.0,8000,10.199821,56.159259
"Bernhardt Jensens Boulevard 89, ST. TH",8000 Aarhus C,1899000,2015-12-02,Alm. Salg,24986.0,2.0,Lejlighed,76.0,2016.0,0.0,8000,10.22547,56.165587
"Montanagade 39, 2",8000 Aarhus C,1900000,2015-12-02,Alm. Salg,34545.0,2.0,Lejlighed,55.0,1896.0,-5.0,8000,10.200058,56.146439
"Bernhardt Jensens Boulevard 91, 10. TH",8000 Aarhus C,3899000,2015-12-02,Alm. Salg,38603.0,3.0,Lejlighed,101.0,2016.0,0.0,8000,10.225638,56.165677
"Grete Løchtes Gade 6, ST. TV",8000 Aarhus C,2199000,2015-12-02,Alm. Salg,24988.0,3.0,Lejlighed,88.0,2016.0,0.0,8000,10.22472,56.165726
"F.G.E. Rostrups Vej 1, 1",8000 Aarhus C,2650000,2015-12-01,Alm. Salg,25728.0,4.0,Lejlighed,103.0,1936.0,-4.0,8000,10.187635,56.159718
"Hendrik Pontoppidans Gade 26, KL",8000 Aarhus C,1600000,2015-12-01,Alm. Salg,25000.0,2.0,Lejlighed,64.0,1908.0,0.0,8000,10.205371,56.143287
"Bogensegade 9, 4. TH",8000 Aarhus C,1274000,2015-12-01,Fam. Salg,24980.0,2.0,Lejlighed,51.0,1910.0,0.0,8000,10.201402,56.144058
"Jægergårdsgade 116, ST. 2",8000 Aarhus C,1935000,2015-12-01,Alm. Salg,28880.0,2.0,Lejlighed,67.0,1890.0,-3.0,8000,10.205401,56.147402
"Åhusene 6, 8. 4",8000 Aarhus C,1900000,2015-12-01,Alm. Salg,34545.0,2.0,Lejlighed,55.0,2013.0,0.0,8000,10.187961,56.15303
"Grete Løchtes Gade 6, 1. TH",8000 Aarhus C,2849000,2015-12-01,Alm. Salg,26626.0,3.0,Lejlighed,107.0,2016.0,0.0,8000,10.22472,56.165726
"Mariane Thomsens Gade 39, 7. 2",8000 Aarhus C,2498000,2015-12-01,Alm. Salg,38430.0,2.0,Lejlighed,65.0,2013.0,0.0,8000,10.230616,56.165136
"Bernhardt Jensens Boulevard 89, 5. TV",8000 Aarhus C,3549000,2015-12-01,Alm. Salg,32263.0,4.0,Lejlighed,110.0,2016.0,0.0,8000,10.22547,56.165587
"Klostertorvet 11, 4. 5",8000 Aarhus C,2025000,2015-12-01,Alm. Salg,43085.0,2.0,Lejlighed,47.0,2015.0,0.0,8000,10.20583,56.158084
"Dagmar Petersens Gade 102, 2. 1",8000 Aarhus C,5000000,2015-12-01,Alm. Salg,39370.0,2.0,Lejlighed,127.0,2016.0,0.0,8000,10.227376,56.167256
"Klostertorvet 11, 1. 9",8000 Aarhus C,2100000,2015-12-01,Alm. Salg,37500.0,2.0,Lejlighed,56.0,2015.0,0.0,8000,10.20583,56.158084
"Bernhardt Jensens Boulevard 89, 5. TH",8000 Aarhus C,3199000,2015-12-01,Alm. Salg,33322.0,3.0,Lejlighed,96.0,2016.0,0.0,8000,10.22547,56.165587
"Vestre Ringgade 156, 3. TV",8000 Aarhus C,1905000,2015-11-30,Alm. Salg,26830.0,3.0,Lejlighed,71.0,1948.0,-5.0,8000,10.189404,56.166328
Gentoftevej 14,8000 Aarhus C,12975000,2015-11-30,Alm. Salg,72486.0,4.0,Villa,179.0,1929.0,-2.0,8000,10.196572,56.138628
"Augustenborggade 5, 1. TV",8000 Aarhus C,1400000,2015-11-30,Fam. Salg,22222.0,2.0,Lejlighed,63.0,1938.0,0.0,8000,10.184928,56.146666
"Lundingsgade 13, 2. TH",8000 Aarhus C,2698000,2015-11-30,Alm. Salg,32119.0,3.0,Lejlighed,84.0,1901.0,0.0,8000,10.195437,56.146349
"Søndre Ringgade 79, 3. TV",8000 Aarhus C,1600000,2015-11-29,Fam. Salg,25000.0,2.0,Lejlighed,64.0,1938.0,0.0,8000,10.185614,56.146457
"Falstersgade 10, 4. TH",8000 Aarhus C,1895000,2015-11-27,Alm. Salg,37156.0,2.0,Lejlighed,51.0,1925.0,-4.0,8000,10.200906,56.162991
"Mejlgade 49, 2. TV",8000 Aarhus C,1094491,2015-11-27,Alm. Salg,7600.0,5.0,Lejlighed,144.0,1900.0,0.0,8000,10.212668,56.159767
"Ceres Allé 7, 14. 4",8000 Aarhus C,3150000,2015-11-27,Alm. Salg,36627.0,3.0,Lejlighed,86.0,2016.0,0.0,8000,10.191218,56.154591
"Grete Løchtes Gade 4, 6. TH",8000 Aarhus C,3399000,2015-11-27,Alm. Salg,32371.0,3.0,Lejlighed,105.0,2016.0,0.0,8000,10.224933,56.165603
"Tietgens Plads 11, 4. TV",8000 Aarhus C,4200000,2015-11-26,Alm. Salg,40384.0,3.0,Lejlighed,104.0,1907.0,-1.0,8000,10.202888,56.144187
"Vestre Ringgade 48, 2. TH",8000 Aarhus C,1800000,2015-11-26,Alm. Salg,27272.0,2.0,Lejlighed,66.0,1940.0,0.0,8000,10.183221,56.157433
"Sonnesgade 17, 2. TV",8000 Aarhus C,1865000,2015-11-26,Alm. Salg,32155.0,2.0,Lejlighed,58.0,1918.0,-2.0,8000,10.194164,56.150175
"Ingerslevs Boulevard 19, 3. TH",8000 Aarhus C,4500000,2015-11-26,Alm. Salg,35433.0,5.0,Lejlighed,127.0,1929.0,0.0,8000,10.192979,56.14409
"Hallssti 7, 1. TV",8000 Aarhus C,3000000,2015-11-26,Alm. Salg,36144.0,3.0,Lejlighed,83.0,2015.0,-2.0,8000,10.201435,56.148734
"Ceres Allé 7, 15. 8",8000 Aarhus C,3400000,2015-11-26,Alm. Salg,37777.0,2.0,Lejlighed,90.0,2016.0,0.0,8000,10.191218,56.154591
"Samsøgade 94, 3",8000 Aarhus C,1925000,2015-11-26,Alm. Salg,32627.0,2.0,Lejlighed,59.0,1897.0,-4.0,8000,10.199899,56.161778
"Montanagade 11, 3",8000 Aarhus C,2298000,2015-11-25,Alm. Salg,35353.0,2.0,Lejlighed,65.0,1900.0,0.0,8000,10.200043,56.147436
"Schleppegrellsgade 8, 4. TH",8000 Aarhus C,1700000,2015-11-25,Alm. Salg,35416.0,2.0,Lejlighed,48.0,1901.0,1.0,8000,10.192675,56.146901
"Ceres Allé 7, 4. 4",8000 Aarhus C,2700000,2015-11-25,Alm. Salg,31395.0,2.0,Lejlighed,86.0,2016.0,0.0,8000,10.191218,56.154591
"Langelandsgade 7, 1. 1",8000 Aarhus C,1548000,2015-11-25,Alm. Salg,32936.0,2.0,Lejlighed,47.0,2011.0,0.0,8000,10.198696,56.158735
"Frederiksbjerg Torv 4, 4. TH",8000 Aarhus C,1580000,2015-11-24,Alm. Salg,35909.0,2.0,Lejlighed,44.0,1901.0,-1.0,8000,10.192916,56.146355
"Klostertorvet 11, 4. 2",8000 Aarhus C,2025000,2015-11-24,Alm. Salg,43085.0,2.0,Lejlighed,47.0,2015.0,0.0,8000,10.20583,56.158084
"Ceres Allé 7, 3. 7",8000 Aarhus C,2700000,2015-11-24,Alm. Salg,28125.0,3.0,Lejlighed,96.0,2016.0,0.0,8000,10.191218,56.154591
"Skovgaardsgade 10, 1. TV",8000 Aarhus C,2725500,2015-11-23,Alm. Salg,32064.0,3.0,Lejlighed,85.0,1928.0,-1.0,8000,10.195344,56.154257
"Sejrøgade 18, 3. TH",8000 Aarhus C,1530000,2015-11-23,Fam. Salg,18214.0,3.0,Lejlighed,84.0,1930.0,0.0,8000,10.197779,56.159912
"Vesterbrogade 24B, ST",8000 Aarhus C,1975000,2015-11-23,Alm. Salg,29924.0,3.0,Lejlighed,66.0,1901.0,-1.0,8000,10.196109,56.158113
Morten Børups Gade 4,8000 Aarhus C,4761000,2015-11-23,Alm. Salg,42508.0,6.0,Rækkehus,112.0,1900.0,2.0,8000,10.197987,56.149721
"Klostertorvet 11, 4. 3",8000 Aarhus C,1775000,2015-11-23,Alm. Salg,35500.0,2.0,Lejlighed,50.0,2015.0,0.0,8000,10.20583,56.158084
"Silkeborgvej 136, 2. TV",8000 Aarhus C,1750000,2015-11-20,Alm. Salg,27777.0,2.0,Lejlighed,63.0,1936.0,0.0,8000,10.179253,56.156527
"Helga Pedersens Gade 9, 5. 1",8000 Aarhus C,4598000,2015-11-20,Alm. Salg,48400.0,4.0,Lejlighed,95.0,2012.0,5.0,8000,10.230149,56.166548
"Mariane Thomsens Gade 50, 1. 2",8000 Aarhus C,2760000,2015-11-20,Alm. Salg,34074.0,2.0,Lejlighed,81.0,2013.0,-1.0,8000,10.23058,56.164941
"Frederiks Allé 28, 1. D",8000 Aarhus C,1875000,2015-11-19,Alm. Salg,27985.0,2.0,Lejlighed,67.0,1986.0,-5.0,8000,10.199024,56.150632
"Klostertorvet 11, 3. 9",8000 Aarhus C,2175000,2015-11-19,Alm. Salg,38839.0,2.0,Lejlighed,56.0,2015.0,0.0,8000,10.20583,56.158084
"Ceres Allé 7, 10. 4",8000 Aarhus C,2950000,2015-11-19,Alm. Salg,34302.0,3.0,Lejlighed,86.0,2016.0,0.0,8000,10.191218,56.154591
Stadion Allé 43A,8000 Aarhus C,8700000,2015-11-18,Alm. Salg,52409.0,6.0,Villa,166.0,1932.0,0.0,8000,10.195511,56.138841
"Klostertorvet 11, 2. 11",8000 Aarhus C,1800000,2015-11-18,Alm. Salg,40909.0,2.0,Lejlighed,44.0,2015.0,0.0,8000,10.20583,56.158084
"Vestervang 24, ST. TH",8000 Aarhus C,1850000,2015-11-18,Alm. Salg,28461.0,2.0,Lejlighed,65.0,1986.0,0.0,8000,10.193677,56.164
"Grete Løchtes Gade 6, 5. TH",8000 Aarhus C,3199000,2015-11-18,Alm. Salg,32313.0,3.0,Lejlighed,99.0,2016.0,0.0,8000,10.22472,56.165726
"Heibergsgade 3, 2",8000 Aarhus C,3350000,2015-11-17,Alm. Salg,31018.0,4.0,Lejlighed,108.0,1896.0,-6.0,8000,10.208173,56.147128
"Gebauersgade 2, 3. 19",8000 Aarhus C,1325000,2015-11-17,Alm. Salg,29444.0,1.0,Lejlighed,45.0,2004.0,-4.0,8000,10.193972,56.15192
